router,id,name
router,18f51ea1-dcfe-4b38-b41c-bbd296a1b8e3,r-net2-0
router,1e8f9f6c-62e4-42ed-8bca-83d89080ee8e,r-net2-2
router,3668c4c8-59e4-4b39-ace6-a7bdef097bb0,r-net1-2
router,46a77ce8-ce25-4b49-b53f-1c5950ad6067,router1
router,53d8b864-8ceb-4890-9b29-07958f8e2524,r-net2-3
router,5c59f680-43c1-4734-8f22-b90ae40328f3,r-net2-1
router,8882ea4d-f31c-4d27-86cb-a145fa0ac1c6,r-net1-3
router,b0506d2a-4b73-4076-a63f-945e221dcdb9,r-net1-0
router,fc5fe4d5-03f5-4281-bd56-da62b17d6d58,r-net1-1
server,id,name
server,3c737a50-8e3c-4196-91f6-422ddb1b4d0a,st-bad-p746qylqhtd2-2-73jllvl36pi5-vm-jsmief3jmx2z
server,4a30b18f-b57d-42bb-bae3-cd0cf5da8860,st-bad-p746qylqhtd2-1-d636u2qeafo5-vm-wjwgu3swf4hu
server,5755de30-ec60-40d2-a9ae-1989d95a3090,st-good1-pxaj4hjyxzhk-1-5avwrzyrg5rd-vm-ucvb4wm6chtw
server,f8d18385-37d7-4656-be1d-5c9c6b3b19e1,st-bad-p746qylqhtd2-0-qme4eng5k3pj-vm-ec5lmmp3jxau
server,3521706e-304f-4423-8537-1e13f2013932,st-good1-pxaj4hjyxzhk-0-q3ws4cqibb7w-vm-pcniy3mwx4ux
server,4623eefd-36a2-43b2-9e16-f0e62b6c4cfb,st-good2-tumzyzczhjlr-0-jfntsyk47ld5-vm-lrba375avygg
server,2fa6fc0c-cdcd-4bad-9915-4c1dc5f1c0df,st-good2-tumzyzczhjlr-1-u5upkkmlzyyf-vm-agb5achphrnq
port,device_id,id,network_id
port,46a77ce8-ce25-4b49-b53f-1c5950ad6067,065d0458-80c4-47e8-ba5b-050bc6a3ec59,4973bcf7-059d-4230-b1d5-4248856490c4
port,dhcpd06f717d-a0ea-548e-9273-5b9ebc9b5df1-c3b551be-20fb-49e4-b311-e28da147f667,0d137138-030d-47e0-b2be-629ddc8d00b7,c3b551be-20fb-49e4-b311-e28da147f667
port,5755de30-ec60-40d2-a9ae-1989d95a3090,14f9ee2d-1437-406e-ad7f-4e350cdc20e7,cc71af67-3312-4b0e-a74a-6389dcd97521
port,b0506d2a-4b73-4076-a63f-945e221dcdb9,1757a709-475b-4137-bafd-fdee23a8ca45,4f433483-94a8-4822-87be-80e1a0d6b9f4
port,dhcpd06f717d-a0ea-548e-9273-5b9ebc9b5df1-16ff45c5-adf5-455a-83f6-9ad059cab1e9,17ed3c9a-2d17-4b0c-9e5b-b9f4f5ded671,16ff45c5-adf5-455a-83f6-9ad059cab1e9
port,dhcpd06f717d-a0ea-548e-9273-5b9ebc9b5df1-b0e00d75-ebdf-47b8-84e2-fa370a94fc9c,25a086a4-9c9a-4d39-99e5-927e7c9837c8,b0e00d75-ebdf-47b8-84e2-fa370a94fc9c
port,53d8b864-8ceb-4890-9b29-07958f8e2524,268de5e3-4f0d-4da5-913d-bb8a0448ba73,16ff45c5-adf5-455a-83f6-9ad059cab1e9
port,dhcpd06f717d-a0ea-548e-9273-5b9ebc9b5df1-19926188-6b88-45d1-bf39-a935d45bf7ea,27c58bbc-da61-473e-9843-ac8044076eef,19926188-6b88-45d1-bf39-a935d45bf7ea
port,3668c4c8-59e4-4b39-ace6-a7bdef097bb0,2c0cf3ac-faca-476a-bcb8-8753565756ee,e9603ca9-7112-4595-b8bb-ac60d98c4a08
port,1e8f9f6c-62e4-42ed-8bca-83d89080ee8e,31222cc3-770d-46bd-a0fb-26ac918117e3,b851fcaa-0639-48be-a6e6-8365a7ab0959
port,18f51ea1-dcfe-4b38-b41c-bbd296a1b8e3,32327a46-b462-4ce7-ac51-7637c6d81d05,78dab036-edcb-4c44-b1bc-1048cbb55e04
port,dhcpd06f717d-a0ea-548e-9273-5b9ebc9b5df1-e9603ca9-7112-4595-b8bb-ac60d98c4a08,39db0997-4110-4c4d-8bb6-34167825a91c,e9603ca9-7112-4595-b8bb-ac60d98c4a08
port,f8d18385-37d7-4656-be1d-5c9c6b3b19e1,448d95b2-a6f8-4951-a690-14b82aa70fc7,78dab036-edcb-4c44-b1bc-1048cbb55e04
port,dhcpd06f717d-a0ea-548e-9273-5b9ebc9b5df1-00c5e795-76af-4b51-81bf-3f82bdef977a,4695162f-7295-4f50-a8a1-8baa7f8c712a,00c5e795-76af-4b51-81bf-3f82bdef977a
port,dhcpd06f717d-a0ea-548e-9273-5b9ebc9b5df1-6e88db90-559e-47c2-acc1-58f6d812293e,46e6aac6-aa76-4692-9b73-88aea4883b03,6e88db90-559e-47c2-acc1-58f6d812293e
port,dhcpd06f717d-a0ea-548e-9273-5b9ebc9b5df1-a2fdab66-bfd6-416f-a196-48544367afa3,47133745-6416-4176-9ba5-12f10cceff59,a2fdab66-bfd6-416f-a196-48544367afa3
port,53d8b864-8ceb-4890-9b29-07958f8e2524,48cd50dc-c0dc-4a04-9532-178f04d1580b,78dab036-edcb-4c44-b1bc-1048cbb55e04
port,fc5fe4d5-03f5-4281-bd56-da62b17d6d58,4a62df0d-3b23-4950-8d76-8da87e8d33ba,00c5e795-76af-4b51-81bf-3f82bdef977a
port,5c59f680-43c1-4734-8f22-b90ae40328f3,4c6cd98d-b27d-410d-8ea2-5b7f04942ae5,a398c6dc-4d92-4c2c-be37-11bb4f8bafb4
port,dhcpd06f717d-a0ea-548e-9273-5b9ebc9b5df1-a398c6dc-4d92-4c2c-be37-11bb4f8bafb4,4f4e5944-8175-48c5-bdbf-fa8d45bd963e,a398c6dc-4d92-4c2c-be37-11bb4f8bafb4
port,dhcpd06f717d-a0ea-548e-9273-5b9ebc9b5df1-2e99a08b-4e07-4df6-8b70-b331b5303466,513dae4e-6310-4995-a1c6-5766f125a194,2e99a08b-4e07-4df6-8b70-b331b5303466
port,b0506d2a-4b73-4076-a63f-945e221dcdb9,53676dbd-16b1-4e6c-b1ff-4ef7233d1983,cc71af67-3312-4b0e-a74a-6389dcd97521
port,4623eefd-36a2-43b2-9e16-f0e62b6c4cfb,54167d09-fd12-4457-b3b5-6c91c058fd23,6e88db90-559e-47c2-acc1-58f6d812293e
port,fc5fe4d5-03f5-4281-bd56-da62b17d6d58,6372335d-a925-4fa9-a682-def3d11a056d,223245ed-3c8f-4671-98a6-2a62afc18e7b
port,3c737a50-8e3c-4196-91f6-422ddb1b4d0a,6499b2f3-9f60-439a-b04b-65867f4d34c4,223245ed-3c8f-4671-98a6-2a62afc18e7b
port,8882ea4d-f31c-4d27-86cb-a145fa0ac1c6,6803fb1f-ae5f-4262-8abe-be509a82da4c,b0e00d75-ebdf-47b8-84e2-fa370a94fc9c
port,8882ea4d-f31c-4d27-86cb-a145fa0ac1c6,6db116ee-1998-493c-b011-4919c8b5d15e,cc71af67-3312-4b0e-a74a-6389dcd97521
port,fc5fe4d5-03f5-4281-bd56-da62b17d6d58,6e2f24b0-5c22-42f1-b181-337cf7e97bc7,2e99a08b-4e07-4df6-8b70-b331b5303466
port,3521706e-304f-4423-8537-1e13f2013932,7098b93f-74fe-475a-93fd-0dbcee458fab,8e5463c6-ea19-4aa8-b19c-eef9026c03a8
port,8882ea4d-f31c-4d27-86cb-a145fa0ac1c6,81fc46e3-a0ab-400b-b2dc-32d2031ba707,19926188-6b88-45d1-bf39-a935d45bf7ea
port,dhcpd06f717d-a0ea-548e-9273-5b9ebc9b5df1-d39e752b-afc3-4a02-a991-6943a8c57284,83123931-0b3b-4421-9009-0e231256aeba,d39e752b-afc3-4a02-a991-6943a8c57284
port,8882ea4d-f31c-4d27-86cb-a145fa0ac1c6,84b63ab1-c682-4745-ac14-64b49186c8f1,d39e752b-afc3-4a02-a991-6943a8c57284
port,dhcpd06f717d-a0ea-548e-9273-5b9ebc9b5df1-f4c9dfdc-9a09-4ae3-b73a-a3e3ab6cb957,8ad20b78-0732-4bac-bd78-9c7bd4617079,f4c9dfdc-9a09-4ae3-b73a-a3e3ab6cb957
port,b0506d2a-4b73-4076-a63f-945e221dcdb9,8b183f79-35c7-4203-916d-cc9fb454557b,5afca92c-7a49-439f-b1d8-a1edafa2cd0a
port,1e8f9f6c-62e4-42ed-8bca-83d89080ee8e,9191e3d4-dbcf-481d-9d59-3b0143ae6614,ef2d4ec3-1861-424d-a010-088b6b96f955
port,dhcpd06f717d-a0ea-548e-9273-5b9ebc9b5df1-78dab036-edcb-4c44-b1bc-1048cbb55e04,97769cb4-54bb-4c38-83b2-31f52a00fc05,78dab036-edcb-4c44-b1bc-1048cbb55e04
port,2fa6fc0c-cdcd-4bad-9915-4c1dc5f1c0df,97b7b12e-6d42-4fbb-9d9a-1dbb54fa62d4,c3b551be-20fb-49e4-b311-e28da147f667
port,b0506d2a-4b73-4076-a63f-945e221dcdb9,98e3fbe1-c64b-4b32-a3d9-95580f488585,a2fdab66-bfd6-416f-a196-48544367afa3
port,dhcpd06f717d-a0ea-548e-9273-5b9ebc9b5df1-80d80a8a-340e-4f39-b6bd-0e4b82cea356,9a349c77-61ee-4eab-98ca-1d394aacdb11,80d80a8a-340e-4f39-b6bd-0e4b82cea356
port,53d8b864-8ceb-4890-9b29-07958f8e2524,9f28eb2f-bee5-4c8a-8e62-4cf3aedcaed0,80d80a8a-340e-4f39-b6bd-0e4b82cea356
port,dhcpd06f717d-a0ea-548e-9273-5b9ebc9b5df1-8e5463c6-ea19-4aa8-b19c-eef9026c03a8,a0513ef3-274f-4e44-9209-a87e7bf967b3,8e5463c6-ea19-4aa8-b19c-eef9026c03a8
port,46a77ce8-ce25-4b49-b53f-1c5950ad6067,a4f82a7a-d0d8-40fc-85b7-1fe4a9e8a0aa,abcadea6-9b0f-47a3-b7ea-e3599e34b435
port,dhcpd06f717d-a0ea-548e-9273-5b9ebc9b5df1-b29b3971-c5e7-4b4c-a613-4c113a853bcc,a5d0994b-6dca-4c1c-85d9-abe7641bbb75,b29b3971-c5e7-4b4c-a613-4c113a853bcc
port,5c59f680-43c1-4734-8f22-b90ae40328f3,a9f220b5-156f-4bff-9289-0de37c10ecc2,c3b551be-20fb-49e4-b311-e28da147f667
port,dhcpd06f717d-a0ea-548e-9273-5b9ebc9b5df1-cc71af67-3312-4b0e-a74a-6389dcd97521,adaf2b3f-c512-4998-96f5-9c3639fd3223,cc71af67-3312-4b0e-a74a-6389dcd97521
port,dhcpd06f717d-a0ea-548e-9273-5b9ebc9b5df1-abcadea6-9b0f-47a3-b7ea-e3599e34b435,adf05166-eebc-453d-b608-b799e5deab0d,abcadea6-9b0f-47a3-b7ea-e3599e34b435
port,dhcpd06f717d-a0ea-548e-9273-5b9ebc9b5df1-579833fd-cdb9-4824-9977-13febc90f75a,b2b02a96-783d-4a08-92dc-4e089133fac6,579833fd-cdb9-4824-9977-13febc90f75a
port,4a30b18f-b57d-42bb-bae3-cd0cf5da8860,b4fd6323-ded3-412d-8ee5-afa41330a4ca,a398c6dc-4d92-4c2c-be37-11bb4f8bafb4
port,18f51ea1-dcfe-4b38-b41c-bbd296a1b8e3,b50483ee-65a6-4be0-b055-e4e148915523,579833fd-cdb9-4824-9977-13febc90f75a
port,1e8f9f6c-62e4-42ed-8bca-83d89080ee8e,b6f20655-7af0-4e09-b513-2e96866f0a4e,579833fd-cdb9-4824-9977-13febc90f75a
port,1e8f9f6c-62e4-42ed-8bca-83d89080ee8e,bd0b1abb-4e34-4c1d-831f-cfff03b40d0d,586bc052-1db7-4a46-b8a8-b078beb561df
port,dhcpd06f717d-a0ea-548e-9273-5b9ebc9b5df1-4f433483-94a8-4822-87be-80e1a0d6b9f4,bd47d348-a00b-4c80-840b-73169ce6207f,4f433483-94a8-4822-87be-80e1a0d6b9f4
port,5c59f680-43c1-4734-8f22-b90ae40328f3,be18e2d0-5e8f-4d77-a977-61a42f2ef515,6e88db90-559e-47c2-acc1-58f6d812293e
port,dhcpd06f717d-a0ea-548e-9273-5b9ebc9b5df1-5afca92c-7a49-439f-b1d8-a1edafa2cd0a,c21c8818-7b96-475f-b60b-ef11841df84a,5afca92c-7a49-439f-b1d8-a1edafa2cd0a
port,dhcpd06f717d-a0ea-548e-9273-5b9ebc9b5df1-586bc052-1db7-4a46-b8a8-b078beb561df,c8042558-4f80-4d27-8bab-bf337f961555,586bc052-1db7-4a46-b8a8-b078beb561df
port,dhcpd06f717d-a0ea-548e-9273-5b9ebc9b5df1-9f00b992-259f-4628-a8ea-cb7aa2519454,cab49ed9-6064-446c-a079-cc982901187d,9f00b992-259f-4628-a8ea-cb7aa2519454
port,2fa6fc0c-cdcd-4bad-9915-4c1dc5f1c0df,ccdf4197-b392-438a-a3e7-e21cdceee8f5,80d80a8a-340e-4f39-b6bd-0e4b82cea356
port,fc5fe4d5-03f5-4281-bd56-da62b17d6d58,cce7b090-61ce-41fb-b733-db52a70d2eb0,5afca92c-7a49-439f-b1d8-a1edafa2cd0a
port,3c737a50-8e3c-4196-91f6-422ddb1b4d0a,cdf4ce84-8cea-4cf9-bf9c-c7626929cf4c,606da718-1005-4b6b-94cd-a0a06feb3366
port,3521706e-304f-4423-8537-1e13f2013932,ce613fdc-088c-40d3-bde2-600e3fd45928,4f433483-94a8-4822-87be-80e1a0d6b9f4
port,dhcpd06f717d-a0ea-548e-9273-5b9ebc9b5df1-ef2d4ec3-1861-424d-a010-088b6b96f955,cedd36b0-dbcc-462d-a079-b6ef26529b1d,ef2d4ec3-1861-424d-a010-088b6b96f955
port,18f51ea1-dcfe-4b38-b41c-bbd296a1b8e3,cef7599b-988d-457d-b1f2-16b8b852249d,a398c6dc-4d92-4c2c-be37-11bb4f8bafb4
port,5755de30-ec60-40d2-a9ae-1989d95a3090,d3470c52-1304-4c93-8f63-55405ce8a991,00c5e795-76af-4b51-81bf-3f82bdef977a
port,f8d18385-37d7-4656-be1d-5c9c6b3b19e1,d40931b7-ef4a-4900-a492-0a2ab434e8a2,8e5463c6-ea19-4aa8-b19c-eef9026c03a8
port,dhcpd06f717d-a0ea-548e-9273-5b9ebc9b5df1-b851fcaa-0639-48be-a6e6-8365a7ab0959,da36f577-a5c2-4c7c-8bdc-2b7522c555db,b851fcaa-0639-48be-a6e6-8365a7ab0959
port,dhcpd06f717d-a0ea-548e-9273-5b9ebc9b5df1-606da718-1005-4b6b-94cd-a0a06feb3366,e01e66bf-8f5a-4a44-ba60-ec6d490d1ad8,606da718-1005-4b6b-94cd-a0a06feb3366
port,53d8b864-8ceb-4890-9b29-07958f8e2524,e29e2681-848e-496f-bdee-d66b0ef06730,606da718-1005-4b6b-94cd-a0a06feb3366
port,4623eefd-36a2-43b2-9e16-f0e62b6c4cfb,e452e909-4287-4042-b2cd-1f2174eb0c24,f4c9dfdc-9a09-4ae3-b73a-a3e3ab6cb957
port,3668c4c8-59e4-4b39-ace6-a7bdef097bb0,ef123e93-c06b-4917-91f9-253d84d06155,8e5463c6-ea19-4aa8-b19c-eef9026c03a8
port,5c59f680-43c1-4734-8f22-b90ae40328f3,ef50b485-03a2-4a73-a4c8-53bfbd691797,f4c9dfdc-9a09-4ae3-b73a-a3e3ab6cb957
port,dhcpd06f717d-a0ea-548e-9273-5b9ebc9b5df1-223245ed-3c8f-4671-98a6-2a62afc18e7b,f11a977b-5738-4f75-b855-0ed148b00d80,223245ed-3c8f-4671-98a6-2a62afc18e7b
port,4a30b18f-b57d-42bb-bae3-cd0cf5da8860,f30a60bf-c478-415d-ae12-192c74885a5b,223245ed-3c8f-4671-98a6-2a62afc18e7b
port,3668c4c8-59e4-4b39-ace6-a7bdef097bb0,f6563733-32fe-47b1-9d6a-b27960c428b9,4f433483-94a8-4822-87be-80e1a0d6b9f4
port,18f51ea1-dcfe-4b38-b41c-bbd296a1b8e3,f99da923-7072-422f-99b7-1400a4062b19,9f00b992-259f-4628-a8ea-cb7aa2519454
port,3668c4c8-59e4-4b39-ace6-a7bdef097bb0,fba4ad58-2984-4b44-b9cd-cddd938b14ae,b29b3971-c5e7-4b4c-a613-4c113a853bcc
network,id,name
network,00c5e795-76af-4b51-81bf-3f82bdef977a,net1-4
network,16ff45c5-adf5-455a-83f6-9ad059cab1e9,net2-11
network,19926188-6b88-45d1-bf39-a935d45bf7ea,net1-11
network,223245ed-3c8f-4671-98a6-2a62afc18e7b,net1-5
network,2e99a08b-4e07-4df6-8b70-b331b5303466,net1-6
network,4973bcf7-059d-4230-b1d5-4248856490c4,public
network,4f433483-94a8-4822-87be-80e1a0d6b9f4,net1-2
network,579833fd-cdb9-4824-9977-13febc90f75a,net2-2
network,586bc052-1db7-4a46-b8a8-b078beb561df,net2-7
network,5afca92c-7a49-439f-b1d8-a1edafa2cd0a,net1-1
network,606da718-1005-4b6b-94cd-a0a06feb3366,net2-10
network,6e88db90-559e-47c2-acc1-58f6d812293e,net2-4
network,78dab036-edcb-4c44-b1bc-1048cbb55e04,net2-3
network,80d80a8a-340e-4f39-b6bd-0e4b82cea356,net2-12
network,8e5463c6-ea19-4aa8-b19c-eef9026c03a8,net1-8
network,9f00b992-259f-4628-a8ea-cb7aa2519454,net2-0
network,a2fdab66-bfd6-416f-a196-48544367afa3,net1-0
network,a398c6dc-4d92-4c2c-be37-11bb4f8bafb4,net2-1
network,abcadea6-9b0f-47a3-b7ea-e3599e34b435,default
network,b0e00d75-ebdf-47b8-84e2-fa370a94fc9c,net1-12
network,b29b3971-c5e7-4b4c-a613-4c113a853bcc,net1-9
network,b851fcaa-0639-48be-a6e6-8365a7ab0959,net2-9
network,c3b551be-20fb-49e4-b311-e28da147f667,net2-5
network,cc71af67-3312-4b0e-a74a-6389dcd97521,net1-3
network,d39e752b-afc3-4a02-a991-6943a8c57284,net1-10
network,e9603ca9-7112-4595-b8bb-ac60d98c4a08,net1-7
network,ef2d4ec3-1861-424d-a010-088b6b96f955,net2-8
network,f4c9dfdc-9a09-4ae3-b73a-a3e3ab6cb957,net2-6
